created_date,forecast
2020-01-02,89.0
2020-01-03,89.0
2020-01-04,89.0
2020-01-05,89.0
2020-01-06,89.0
2020-01-07,89.0
2020-01-08,89.0
2020-01-09,89.0
2020-01-10,89.0
2020-01-11,89.0
2020-01-12,89.0
2020-01-13,89.0
2020-01-14,89.0
2020-01-15,89.0
2020-01-16,89.0
2020-01-17,89.0
2020-01-18,89.0
2020-01-19,89.0
2020-01-20,89.0
2020-01-21,89.0
2020-01-22,89.0
2020-01-23,89.0
2020-01-24,89.0
2020-01-25,89.0
2020-01-26,89.0
2020-01-27,89.0
2020-01-28,89.0
2020-01-29,89.0
2020-01-30,89.0
2020-01-31,89.0
