created_date,forecast
2020-02-01,89.0
2020-02-02,89.0
2020-02-03,89.0
2020-02-04,89.0
2020-02-05,89.0
2020-02-06,89.0
2020-02-07,89.0
2020-02-08,89.0
2020-02-09,89.0
2020-02-10,89.0
2020-02-11,89.0
2020-02-12,89.0
2020-02-13,89.0
2020-02-14,89.0
2020-02-15,89.0
2020-02-16,89.0
2020-02-17,89.0
2020-02-18,89.0
2020-02-19,89.0
2020-02-20,89.0
2020-02-21,89.0
2020-02-22,89.0
2020-02-23,89.0
2020-02-24,89.0
2020-02-25,89.0
2020-02-26,89.0
2020-02-27,89.0
2020-02-28,89.0
2020-02-29,89.0
2020-03-01,89.0
