,Predicted_Submissions
2020-02-01,8440.085076167274
2020-02-02,20425.806446533832
2020-02-03,32838.917617418745
2020-02-04,32838.917617418745
2020-02-05,32838.917617418745
2020-02-06,32838.917617418745
2020-02-07,32838.917617418745
2020-02-08,32838.917617418745
2020-02-09,32838.917617418745
2020-02-10,32838.917617418745
2020-02-11,32838.917617418745
2020-02-12,32838.917617418745
2020-02-13,32838.917617418745
2020-02-14,32838.917617418745
2020-02-15,32838.917617418745
2020-02-16,32838.917617418745
2020-02-17,32838.917617418745
2020-02-18,32838.917617418745
2020-02-19,32838.917617418745
2020-02-20,32838.917617418745
2020-02-21,32838.917617418745
2020-02-22,32838.917617418745
2020-02-23,32838.917617418745
2020-02-24,32838.917617418745
2020-02-25,32838.917617418745
2020-02-26,32838.917617418745
2020-02-27,32838.917617418745
2020-02-28,32838.917617418745
2020-02-29,32838.917617418745
2020-03-01,32838.917617418745
