created_date,predicted_count
2020-02-01,41437
2020-02-02,41865
2020-02-03,42293
2020-02-04,42722
2020-02-05,43150
2020-02-06,43578
2020-02-07,44006
2020-02-08,44435
2020-02-09,44863
2020-02-10,45291
2020-02-11,45719
2020-02-12,46148
2020-02-13,46576
2020-02-14,47004
2020-02-15,47432
2020-02-16,47861
2020-02-17,48289
2020-02-18,48717
2020-02-19,49145
2020-02-20,49574
2020-02-21,50002
2020-02-22,50430
2020-02-23,50859
2020-02-24,51287
2020-02-25,51715
2020-02-26,52143
2020-02-27,52572
2020-02-28,53000
2020-02-29,53428
