created_date,count
2020-01-16,41601
2020-01-14,41530
2020-01-09,40462
2020-01-15,40100
2020-01-08,39385
2020-01-17,38287
2020-01-13,38260
2020-01-29,38194
2020-01-10,37883
2020-01-22,37842
2020-01-28,37210
2020-01-07,37089
2020-01-30,36152
2020-01-21,35762
2020-01-23,34671
2020-01-06,33758
2020-01-20,33598
2020-01-24,33549
2020-01-03,32458
2020-01-27,30180
2020-01-18,29951
2020-01-19,28181
2020-01-02,27438
2020-01-04,26668
2020-01-11,26294
2020-01-25,24845
2020-01-05,24281
2020-01-12,23996
2020-01-26,22352
2020-01-31,17010
2020-01-01,11013
