,Predicted_Submissions
2020-02-01,289.0
2020-02-02,236.0
2020-02-03,606.0
2020-02-04,329.0
2020-02-05,343.0
2020-02-06,249.0
2020-02-07,215.0
2020-02-08,343.0
2020-02-09,437.0
2020-02-10,483.0
2020-02-11,541.0
2020-02-12,31.0
2020-02-13,289.0
2020-02-14,236.0
2020-02-15,606.0
2020-02-16,329.0
2020-02-17,343.0
2020-02-18,249.0
2020-02-19,215.0
2020-02-20,343.0
2020-02-21,437.0
2020-02-22,483.0
2020-02-23,541.0
2020-02-24,31.0
2020-02-25,289.0
2020-02-26,236.0
2020-02-27,606.0
2020-02-28,329.0
2020-02-29,343.0
2020-03-01,249.0
