repo_id,count
36502,3
85953,2
130013,31
231339,1
270054,2
297058,12
379548,1
385586,54
388670,1
401025,7
501252,1
501277,5
566934,1
574749,1
617210,11
671746,2
721535,5
778943,2
791219,1
791260,1
791290,1
791299,109
791460,3
791611,10
956959,6
1064563,17
1107291,3
1154184,1
1203162,1
1208202,1
1264182,24
1304738,137
1322105,7
1385714,2
1423099,6
1439473,59
1484646,6
1500522,3
1575307,2
1637999,4
1695384,13
1725199,15
1756711,2
1775980,1
1804546,1
1861458,2
1937202,1
1953239,3
2048843,1
2113067,1
2130483,8
2210861,1
2274603,2
2298667,1
2391583,1
2411444,2
2500088,15
2533224,1
2602883,1
2650621,3
2676116,1
2680493,1
2680644,1
2727170,1
2870911,7
2928555,1
3006202,1
3076906,2
3135721,2
3186244,3
3259700,26
3291848,16
3327133,2
3341630,1
3363255,4
3388498,4
3459673,3
3469101,1
3476941,2
3488045,5
3526435,4
3569082,3
3602831,8
3603954,7
3662248,5
3785835,1
3891123,2
4026878,2
4035521,1
4052021,7
4052581,1
4192801,1
4237200,1
4253774,4
4264314,4
4316806,1
4384018,1
4532625,3
4590297,2
4708471,1
4732503,2
4797831,1
4835074,11
4877073,1
4885383,1
4900940,9
4901389,1
4923753,1
4981354,1
4999959,3
5070403,3
5078061,2
5083775,5
5090543,3
5096842,3
5097854,3
5241312,50
5307604,1
5323831,1
5349193,24
5356028,3
5432611,1
5529127,1
5551098,8
5580301,1
5701969,1
5740898,1
5833545,1
5997940,6
6020956,1
6023736,17
6071206,4
6360324,1
6444277,1
6457299,4
6556815,34
6563886,1
6603254,1
6719154,1
6720847,1
6749230,1
6814383,13
6814646,1
6830846,7
6892737,5
6900541,3
6974138,2
7008161,1
7126882,4
7158649,4
7193697,1
7207953,1
7252233,101
7440432,3
7455629,12
7521822,1
7582008,3
7704420,4
7734669,1
7765403,1
7805668,2
7849860,1
7993318,4
8003417,5
8021392,1
8026846,2
8039659,1
8077597,6
8115214,2
8220064,2
8392475,1
8409924,4
8421800,8
8445877,2
8455662,1
8493211,1
8509487,8
8672234,1
8698612,3
8715861,1
8786238,1
8913561,2
9063013,1
9183002,3
9228919,3
9265194,1
9350746,2
9395761,1
9415508,1
9551743,9
9584545,2
9586778,1
9790144,1
9800160,6
9838354,1
9973350,2
9988318,4
10013462,1
10243509,2
10498249,2
10539342,1
10620574,6
10671623,1
10673563,1
10699433,1
10721619,8
10744183,7
10770151,3
10813777,9
10908564,1
10948207,1
11076316,2
11133470,1
11306615,14
11364783,73
11426474,1
11427075,1
11481338,3
11491856,1
11520669,2
11595228,3
11658921,1
11659140,3
11662955,1
11671912,28
11782994,1
11802094,1
11879182,2
11894308,8
11913490,5
11959052,2
11980558,4
11982355,1
11982622,3
12019728,1
12093202,3
12131450,2
12455655,2
12516489,1
12623998,1
12654390,1
12687979,1
12723037,1
12731511,1
12853191,1
12878388,5
12901416,5
12928435,2
12989790,4
13020270,2
13021798,4
13040279,4
13057937,2
13115009,1
13153226,2
13223813,2
13249488,1
13424771,1
13515701,1
13521137,1
13597853,1
13756141,2
13762762,2
13829724,6
13830051,6
13830293,10
13886623,1
13948805,2
14017618,10
14070322,1
14143026,1
14147214,1
14196267,3
14239388,1
14268904,1
14269170,1
14494363,4
14564165,3
14573854,2
14590342,1
14660385,1
14731610,8
14788795,1
14797860,18
14838554,1
14871640,9
14897540,5
15039917,2
15101579,3
15342073,1
15347392,3
15361732,8
15489525,2
15509440,6
15510138,3
15537044,2
15562687,2
15638423,1
15750847,1
15834222,2
15969729,1
15997791,2
16109770,2
16150395,2
16194438,3
16302153,1
16424722,2
16472907,2
16477295,1
16808916,2
16923673,1
16937765,4
16989012,3
17013565,1
17078727,1
17111013,1
17111048,3
17255950,2
17392282,1
17432055,1
17474800,1
17486281,3
17490137,1
17492139,2
17520223,4
17570751,2
17628193,13
17693993,1
17694090,1
17694277,2
17694329,2
17781985,5
17798495,1
17838324,2
17843386,2
17876101,4
17916799,1
17930101,1
17943273,1
17959249,1
17973518,1
17988240,1
18005988,1
18051302,1
18187508,2
18205426,1
18419864,1
18500530,4
18700638,2
18718678,2
18745793,2
18785204,3
18786873,4
18786911,1
18787015,2
18794475,4
19016985,1
19036577,11
19039693,2
19157620,18
19176350,2
19266961,2
19272193,2
19378473,4
19437420,1
19472255,3
19498290,21
19548750,1
19589395,5
19592665,1
19603823,1
19622573,2
19651495,5
19678780,1
19846688,5
19876011,3
19876026,4
19909181,2
19961931,3
20046106,1
20058282,4
20059967,1
20077357,3
20098668,7
20141335,1
20188824,3
20245447,1
20273203,1
20273629,1
20281732,1
20329118,2
20357390,2
20361729,15
20577962,12
20585196,1
20597499,2
20665274,1
20735675,1
20845540,3
21011052,1
21048960,1
21251069,3
21266373,19
21374320,2
21408136,1
21426841,1
21426851,4
21445054,1
21480891,1
21481995,2
21520364,3
21536544,2
21562567,1
21576192,2
21622084,6
21644499,7
21697618,1
21715053,3
21793531,1
21799743,2
21864100,16
21912466,2
21931750,4
21992812,1
22029913,2
22203719,1
22211322,1
22221734,1
22422654,1
22440180,1
22470303,1
22596311,2
22596881,1
22643282,111
22645275,2
22655952,2
22735635,1
22767449,1
22782178,5
22798555,2
22910502,81
23085248,2
23114557,3
23122037,1
23216272,3
23414706,6
23434113,3
23494784,14
23610155,1
23631201,1
23653453,53
23700603,1
23729969,2
23752193,17
23761009,4
23807780,1
23843270,1
23844991,1
23885380,4
23894022,1
23978558,3
24008250,2
24024558,1
24144948,7
24150332,3
24388342,1
24598926,8
24663344,2
24677663,1
24766127,1
24788221,6
24802725,7
24804430,1
24807773,1
24840667,1
24883739,1
25060037,2
25060147,6
25067998,11
25158117,1
25283698,3
25396221,1
25407404,1
25415390,2
25454837,2
25489947,2
25524569,1
25539499,1
25590252,12
25740241,1
25766397,1
25814103,3
25997846,2
26176077,1
26203116,1
26289921,3
26424594,4
26435069,10
26438370,4
26539525,5
26547395,1
26741845,5
26843650,4
26903364,1
26921116,2
27215337,12
27251534,1
27279052,2
27284359,2
27373513,1
27420900,1
27450700,1
27579606,7
27645417,22
27665438,1
27723774,11
27769728,1
27771675,1
27792408,1
28036373,2
28150170,8
28163279,1
28175335,4
28324052,2
28453582,5
28552354,1
28616716,1
28635588,2
28672187,1
28677072,6
28721561,4
28749213,1
28858924,1
28963928,2
29080923,3
29135301,2
29171383,1
29244141,1
29302922,3
29352730,10
29361660,3
29363579,3
29364157,3
29366386,3
29428344,3
29435316,3
29514104,70
29520064,1
29520496,3
29603138,3
29603338,1
29627121,8
29742509,2
29756878,2
29885861,1
29913496,3
29913722,3
29959880,2
30016771,6
30076353,1
30113250,5
30128851,4
30171352,12
30303647,1
30338236,4
30380929,1
30426433,10
30596362,2
30651283,2
30773479,4
30804448,14
30888091,2
31054058,33
31065675,1
31139356,2
31254465,1
31276648,2
31301496,1
31333251,2
31422998,1
31425145,1
31470492,1
31476103,2
31549677,7
31551775,1
31560832,4
31589741,2
31596937,6
31633729,1
31680585,2
31870225,2
31899330,14
31914982,1
31970594,1
32057855,1
32090713,4
32123112,4
32142389,1
32164747,1
32171924,2
32311287,1
32344065,2
32411368,3
32434015,5
32446226,11
32449981,2
32467098,1
32523935,1
32671477,1
32698469,1
32728775,4
32901760,36
33000490,31
33006732,4
33032511,5
33108638,3
33116384,1
33126195,1
33329759,2
33425497,5
33566292,8
33711749,1
33730231,2
33757494,3
33773866,1
33802391,4
33898394,2
33928203,1
33933892,2
34009179,2
34106882,10
34106954,4
34109753,2
34275045,4
34387112,2
34394186,1
34456101,4
34479530,1
34744631,1
34832664,2
34863210,1
34949876,45
35097879,5
35109231,2
35133218,2
35355043,2
35522961,1
35546389,6
35604128,3
35725503,4
35778155,1
35955610,3
35956051,3
35956903,52
36000108,1
36260163,31
36301684,3
36372432,1
36385798,13
36450848,3
36492927,12
36649055,2
36794007,4
36850882,1
36878300,2
36981136,1
37059187,2
37361517,32
37471136,8
37475651,2
37534215,2
37559789,1
37707899,2
37826426,1
37954858,1
37968377,2
38049524,1
38196344,3
38257243,10
38278075,2
38288423,3
38317187,1
38333785,1
38336729,1
38340153,2
38401665,3
38440355,8
38511052,7
38513176,4
38562009,2
38563507,1
38607066,2
38638382,2
38847216,1
38927440,3
38941991,1
38961456,3
38994350,1
39004536,4
39227635,4
39262061,1
39265047,2
39307678,1
39410809,1
39411922,1
39412278,2
39425864,2
39427835,2
39468579,3
39546183,2
39599175,1
39645911,1
39960298,1
39991294,1
40138231,3
40240446,2
40278472,6
40379606,2
40418146,2
40472192,1
40549090,1
40591690,1
40630194,1
40638363,2
40661323,2
40663561,1
40722355,7
40761995,2
40783820,1
40784906,2
40791497,1
40859948,4
41079040,11
41093006,1
41200663,1
41215407,1
41263083,2
41292225,1
41331387,18
41349039,147
41359055,5
41414984,1
41453003,9
41480840,3
41501679,1
41574631,1
41631541,1
41636424,77
41724213,1
41759179,9
41823032,1
41851334,1
41949826,1
42044740,2
42082293,1
42190814,2
42339315,1
42372094,47
42413192,1
42475147,1
42553649,1
42571895,2
42581539,11
42605480,6
42679047,29
42821704,1
42846096,5
42917467,29
43044136,6
43057104,7
43090899,1
43272446,1
43279734,2
43431446,1
43455417,1
43551170,1
43618547,1
43622316,3
43639490,3
43654051,1
43664601,2
43674777,1
43738999,2
43879117,2
43926406,3
43949113,2
43955163,4
43965851,2
43972545,2
44016379,21
44104983,1
44120526,2
44179619,1
44179657,1
44179713,1
44245357,1
44292712,2
44292736,1
44292772,3
44324447,20
44402104,17
44464740,2
44480796,18
44715378,1
44730966,5
44849999,1
44944683,3
44962246,1
45069467,5
45117819,9
45180611,4
45185231,1
45193662,1
45402759,1
45450044,2
45492129,2
45515532,1
45686158,2
45791408,1
45882894,1
45917882,1
45962609,2
46067753,2
46251500,6
46272104,1
46272357,1
46313777,1
46358038,3
46358549,2
46360660,1
46360962,5
46400502,3
46401779,1
46407924,3
46419498,3
46438334,1
46516908,1
46536300,1
46567796,3
46622262,1
46623555,7
46835982,4
46850023,1
46907161,18
46964895,1
46968883,1
46968923,1
46996402,1
47124349,3
47186840,6
47252635,7
47339434,1
47434420,6
47470146,2
47497056,2
47523236,23
47553024,1
47613857,17
47655510,1
47707890,1
47846965,1
47925905,2
48006917,3
48010047,7
48214380,1
48334452,11
48377598,3
48435006,3
48575311,1
48575834,1
48621292,6
48657210,1
48711762,2
48751909,2
48765002,8
48765635,2
48766332,2
48767872,2
48974788,1
48993109,19
49001828,1
49025004,3
49050742,8
49057179,6
49057476,2
49064130,1
49073709,1
49088907,1
49126561,1
49154251,1
49166793,1
49207950,3
49247698,2
49294015,1
49338286,9
49393076,2
49456049,4
49458781,1
49538897,1
49547458,1
49574661,7
49587685,1
49597161,1
49599387,2
49606335,2
49724681,3
49786717,1
49800213,1
49812119,2
49822095,2
49841532,3
49882447,6
49901721,1
49904057,2
49937406,6
49982737,2
49991603,2
50109869,2
50132956,1
50181048,2
50242144,28
50249671,1
50253753,1
50254274,1
50259821,10
50360496,1
50407897,2
50467109,1
50498575,7
50535212,2
50629101,1
50787838,1
50797920,2
50844757,1
50874815,20
50926395,2
50933666,2
50958700,1
50974281,1
50974710,1
50991187,1
51109883,1
51197244,1
51316583,2
51334912,1
51348549,2
51352399,29
51406587,1
51427257,2
51463474,5
51479167,3
51518775,1
51551923,2
51596073,2
51815712,24
51837607,1
51870280,2
51921813,8
51954402,25
51956264,1
52026918,2
52035028,3
52040867,16
52142866,3
52179490,1
52199730,2
52278258,7
52292286,4
52293126,11
52322425,3
52401581,4
52560237,2
52675456,1
52693334,3
52753515,4
52789138,8
52796213,1
52796596,27
52862038,3
52954501,1
52965413,6
53032050,1
53056467,2
53093005,9
53184640,2
53188014,1
53203588,1
53247088,4
53259983,1
53526502,2
53527916,19
53593420,1
53618445,13
53636917,3
53696957,1
53724739,1
53821396,4
53871408,1
53907918,1
53951155,2
54150440,3
54178237,1
54213490,71
54346729,1
54370856,4
54392005,1
54517539,2
54543939,1
54564315,1
54582560,1
54636663,2
54638340,2
54638566,1
54746262,1
54773159,14
54774498,2
54813982,1
54845016,1
54866242,10
54882097,1
54898768,1
54913161,2
54927600,1
54934157,4
55018645,2
55018786,1
55069689,1
55123746,4
55180353,1
55212865,1
55216472,1
55238372,2
55257845,1
55277152,1
55298876,13
55316684,5
55318381,4
55319430,4
55341469,6
55433859,5
55441476,4
55455246,6
55638427,1
55658212,1
55726234,1
55727294,1
55835846,2
55999094,1
55999733,1
56052962,1
56123405,2
56177936,1
56370030,7
56406632,1
56672385,1
56759482,1
56775692,1
56848223,1
56854365,1
56995038,1
57000527,1
57063556,3
57141214,1
57225950,1
57272915,5
57287190,4
57296952,2
57308710,1
57313402,2
57417754,1
57454145,12
57545355,2
57602741,11
57945565,1
58001458,1
58062582,1
58069635,15
58071775,2
58118905,1
58125786,1
58282793,1
58295564,2
58367802,1
58387430,2
58466133,1
58539004,6
58540897,1
58654569,1
58665396,1
58697482,2
58797775,3
58803688,1
58836786,7
58860113,3
58869286,9
58881442,1
58907769,2
58957660,5
59003310,2
59038600,3
59038719,7
59055674,1
59074766,3
59130378,2
59151203,4
59235172,5
59298731,1
59299524,6
59388509,2
59501515,1
59531400,6
59616249,1
59632599,1
59655257,1
59660423,4
59834119,1
59953536,1
60019393,1
60019520,2
60043730,1
60246404,3
60344592,2
60500523,10
60502419,4
60581516,1
60607078,26
60676996,1
60703802,1
60932968,5
61014987,8
61034831,2
61125205,3
61137153,1
61153216,1
61204744,1
61204818,10
61214475,2
61218047,7
61218142,4
61219423,2
61220226,1
61246731,4
61257948,3
61302420,2
61302885,36
61309402,3
61451917,1
61465424,3
61496655,1
61654233,1
61680436,1
61690106,4
61762486,10
61775304,1
61802496,9
61833373,3
61838551,1
61839009,1
61989087,6
61996697,3
62034435,4
62050245,4
62144975,2
62165703,26
62177327,1
62183066,1
62293060,3
62330022,1
62404275,3
62404488,3
62467269,7
62554992,1
62590294,9
62660511,17
62685536,2
62714141,2
62953265,1
62991328,1
63054122,1
63112186,1
63241752,1
63281775,2
63287761,1
63295353,3
63322188,7
63503549,3
63566330,1
63662954,26
63754108,2
63854957,1
63875175,3
64023788,4
64080523,1
64082928,8
64118429,1
64129485,4
64158139,6
64181382,8
64308538,2
64320883,2
64351990,1
64370694,5
64380327,3
64409189,14
64441249,1
64478687,1
64531434,1
64559095,8
64603859,2
64630535,2
64765801,4
64819105,2
64921996,1
65008680,1
65080686,1
65101930,1
65151341,1
65208185,5
65293428,1
65311443,3
65446912,1
65556859,2
65666175,2
65669624,1
65685727,1
65719397,1
65743416,1
65799772,3
65849751,2
65853511,2
65853589,2
65856914,2
65856981,2
65887419,2
65887529,2
65887568,2
65920281,1
65922934,2
65957892,5
65985694,1
66051854,3
66077955,9
66084377,1
66088811,1
66090186,2
66118002,4
66130741,6
66355379,1
66372213,1
66465361,1
66502833,1
66562239,3
66573949,3
66737945,3
66738929,2
66818802,1
66824259,1
66872020,1
66912557,3
66975540,22
67015132,3
67041316,1
67074961,1
67102327,3
67128690,1
67362231,2
67374043,1
67433766,1
67434795,3
67481959,2
67530543,1
67537620,2
67760353,1
67773661,1
67794772,14
67836637,1
67845644,2
67989614,3
68004175,19
68004178,4
68004619,2
68122235,1
68148988,1
68212846,7
68248163,3
68312006,1
68322328,5
68325864,9
68336152,6
68376558,22
68399819,10
68413924,2
68476281,3
68494926,1
68495596,1
68511211,1
68614014,4
68640183,2
68644429,2
68710116,2
68837194,1
68909318,8
69015567,1
69043732,1
69099717,5
69108537,4
69127415,1
69281171,5
69282185,1
69332829,5
69363363,35
69400040,6
69456092,1
69460220,6
69479236,5
69486626,5
69572538,1
69578154,3
69597465,1
69598047,3
69603824,10
69604726,1
69611732,4
69632913,4
69737319,1
69787373,1
69829048,2
69866294,1
69932666,2
69960867,2
69992258,2
70021728,2
70065092,5
70145265,1
70145368,4
70169974,1
70219747,5
70337957,1
70355677,5
70428205,1
70431502,1
70549033,7
70590564,2
70628627,2
70661801,1
70853617,2
70938665,2
70994988,2
71149678,1
71178615,12
71249595,1
71256732,38
71301957,1
71408734,4
71427231,2
71460121,2
71544647,4
71596383,1
71627569,21
71640302,1
71725191,6
71736658,7
71752161,1
71913026,3
71999295,9
72100326,6
72114672,1
72211635,1
72282186,1
72311002,2
72412518,1
72433493,1
72443335,2
72455172,2
72524489,10
72528723,4
72638407,1
72643904,1
72714436,1
72744134,1
72784811,1
72785864,2
72840008,1
72926149,2
72958759,3
73008311,5
73103312,1
73131293,7
73228415,2
73298564,1
73300043,1
73309406,19
73410384,1
73446863,4
73517900,2
73701576,1
73703172,1
73739384,3
73751420,2
73760891,3
73859778,1
73913177,2
73945343,6
74053334,1
74144531,1
74250207,16
74306934,2
74340429,1
74409508,1
74450076,5
74503903,1
74522925,4
74545648,1
74594703,2
74600167,21
74606829,2
74621387,38
74733553,8
74791085,3
74791435,1
74881004,1
74884158,1
74892391,1
74898982,1
75107842,2
75185063,2
75190736,6
75216133,2
75315181,1
75379427,1
75510908,48
75546051,1
75637565,2
75774176,7
75854212,1
75882359,4
75887039,1
75939043,2
75969847,1
75973154,1
76040331,1
76078675,2
76094257,1
76106772,40
76116192,1
76214699,1
76280580,1
76440126,22
76497520,4
76688370,1
76714245,3
76878651,2
76882173,4
76899899,1
76983722,1
77097568,4
77145506,16
77316453,15
77319416,3
77326003,4
77368217,2
77414336,1
77520327,1
77548059,2
77551598,2
77661690,1
77662453,4
77662702,1
77692192,1
77702046,28
77704735,2
77724541,3
77762206,1
77883766,1
77920383,1
77921291,1
78031045,7
78046549,2
78086480,2
78132499,2
78140834,13
78218513,3
78223360,4
78308451,3
78392599,2
78421883,1
78477841,1
78512879,1
78520895,1
78527207,1
78529858,6
78532114,1
78591313,2
78686045,8
78732666,12
78784724,3
78816687,1
78852161,6
78888797,5
78986335,1
79005548,2
79055118,1
79060562,2
79064782,1
79150871,3
79239618,1
79255542,2
79259552,1
79324058,3
79441339,8
79570874,1
79582901,6
79614456,2
79687945,4
79732752,15
79745125,1
79773593,1
79794574,2
79799485,3
79818774,39
79837359,5
79844200,7
79869920,1
79903990,1
79917143,3
80006806,1
80073474,1
80087836,14
80089844,1
80117351,1
80305142,1
80380353,1
80383096,1
80407629,17
80424228,57
80470447,6
80476798,5
80526359,1
80626540,8
80660464,17
80693133,2
80726277,1
80746188,2
80793561,7
80901791,1
80919805,1
80945428,145
80953496,2
81020001,2
81059024,6
81071258,2
81113852,4
81127405,9
81156658,2
81194811,2
81197162,1
81305645,2
81312331,6
81359552,3
81417554,7
81442524,4
81470092,1
81514584,50
81521295,2
81616088,1
81622014,11
81662897,6
81669336,6
81682768,1
81770291,11
81875151,5
82049206,1
82074471,2
82113161,3
82118289,31
82137085,3
82249200,1
82279041,1
82281509,1
82288140,1
82365271,2
82379398,1
82415359,1
82441280,5
82571117,4
82614431,9
82626435,1
82656052,2
82688577,3
82696877,1
82704822,1
82772870,4
82795359,2
82914600,15
82964784,1
82986092,6
83120008,1
83135958,1
83136066,2
83145406,1
83177153,1
83201555,1
83203554,1
83225280,4
83237133,3
83346644,1
83371820,15
83417662,1
83444348,1
83539422,1
83539521,1
83669926,1
83671810,1
83757804,5
83768186,7
83768237,7
83831771,1
83853927,4
83898242,3
83903536,21
83941240,1
83941866,1
83942129,1
83962193,1
84030049,1
84094275,6
84232221,1
84301313,1
84413451,1
84477705,1
84496560,4
84528201,1
84597765,2
84597823,2
84597937,1
84598310,1
84602625,1
84609562,1
84697992,1
84739957,1
84766818,1
84863060,40
84876188,2
84977146,30
85069952,1
85070122,6
85083920,1
85091351,1
85190399,2
85198088,1
85209451,2
85229965,4
85296768,2
85355036,1
85529426,6
85613294,2
85701992,4
85708360,1
85780522,6
85806183,1
85876095,6
85953049,1
85958930,1
86027991,1
86061020,6
86088597,2
86112005,4
86116214,1
86206318,1
86265104,1
86339345,11
86345048,1
86601855,2
86601943,2
86601981,2
86602008,3
86604804,2
86629925,1
86651389,2
86661157,1
86801920,2
86814705,3
86890819,1
86906423,1
86949403,1
87005166,4
87017843,1
87018463,3
87094974,1
87125210,5
87207319,1
87217238,2
87217537,2
87217787,1
87265126,2
87363892,1
87459597,1
87521968,13
87586395,1
87607565,1
87684032,2
87733464,1
87735046,1
87749135,3
87779818,1
87793821,1
87867290,2
87951491,1
88054852,2
88154131,1
88175077,2
88327853,3
88390723,7
88479856,3
88541541,6
88541895,7
88737419,4
88874419,1
88913892,1
88941301,1
88978363,12
89016021,1
89109684,2
89115293,1
89192542,1
89449750,7
89485141,4
89556369,5
89584511,2
89655272,2
89674440,1
89676988,3
89703461,1
89713479,1
89717685,1
89731217,2
89835979,2
89877771,1
90011949,2
90027838,2
90037256,3
90127017,3
90129206,2
90151776,3
90182699,1
90184279,4
90189533,1
90292857,2
90315762,12
90323321,3
90374680,1
90374827,6
90466502,1
90481984,33
90507150,1
90536815,2
90537297,13
90554617,2
90818921,3
90874671,1
91003205,1
91012471,1
91094390,1
91103838,1
91236324,1
91367908,25
91428061,1
91442757,2
91495904,4
91611782,9
91628138,1
91653269,31
91674265,2
91698095,1
91736491,1
91770762,26
91879308,1
91917024,1
92076723,1
92240512,2
92304468,1
92384710,4
92392978,1
92405328,1
92414093,1
92491262,2
92518105,1
92522975,1
92538952,2
92601427,1
92660094,1
92730883,3
92741858,18
92757157,3
92795294,1
92879052,6
92885113,1
92945138,1
93002825,30
93021487,3
93070419,1
93072550,3
93095460,5
93096669,1
93144454,1
93151226,3
93157110,1
93160061,2
93248458,1
93328791,4
93338872,1
93375693,1
93404238,1
93485403,1
93660091,1
93660365,2
93664340,1
93684113,2
93690577,5
93708947,1
93717896,12
93882913,1
93884732,1
93907371,2
93908445,1
